,date,Conv_ID,Utterance_ID,participant,age,word,pos,DM,total,likes,tiers
33,1998-07-07,adv700ju023,28.00,S1,60,like,prep,v,6848,27, 'have you done any digs or anything like that ?
34,1998-07-07,adv700ju023,134.00,S1,60,like,prep,v,6848,27, you need two years if you\'re gonna be doing microbiology or something like that .
35,1998-07-07,adv700ju023,146.00,S1,60,like,conj,v,6848,27, like ⌋ you know international you know politics ⌈ or something like that ⌉ .
36,1998-07-07,adv700ju023,146.00,S1,60,like,prep,cm,6848,27, like ⌋ you know international you know politics ⌈ or something like that ⌉ .
37,1998-07-07,adv700ju023,154.00,S1,60,like,prep,v,6848,27, you know ⌋ something like that and then if you decide you wanna do geology or bio [: biology] anthro then you could use that poli [: political] sci [: science] for social science distribution .
38,1998-07-07,adv700ju023,241.00,S1,60,like,prep,cm,6848,27, remains and so on as much ⌋ I'm just thinking that they are like that's a full course .
39,1998-07-07,adv700ju023,243.00,S1,60,like,prep,cm,6848,27, that would ⌋ be &th a three credit course so that could be like one of your courses but another thing that you could do is to take is to look look at Anthropology one sixty one .
40,1998-07-07,adv700ju023,316.00,S1,60,like,co,cm,6848,27, &-uh that one sounds a_lot like the ones we were looking at &-um but Environmental Studies Environment People and Resources that might be more or Physical World Evolution of the Earth +...
41,1998-07-07,adv700ju023,393.00,S1,60,likes,v,v,6848,27, 'she likes to work with children .
42,1998-07-07,adv700ju023,492.00,S1,60,like,v,v,6848,27, okay what is it that you need to do and what is it that you\'d like to do .
43,1998-07-07,adv700ju023,525.00,S1,60,like,prep,v,6848,27, '&-uh some of it is going to &s seem like repetition .
44,1998-07-07,adv700ju023,528.00,S1,60,like,co,v,6848,27, 'although organic isn't very much like general chemistry .
45,1998-07-07,adv700ju023,578.00,S1,60,like,co,v,6848,27, 'if you like math .
46,1998-07-07,adv700ju023,585.00,S1,60,like,co,v,6848,27, ⌈ but ⌉ the people who like math and .
47,1998-07-07,adv700ju023,587.00,S1,60,like,co,v,6848,27, ⌈ they say ⌉ I like math I .
48,1998-07-07,adv700ju023,602.00,S1,60,businesslike,adj,x,6848,27, 'it's not a nasty letter it's just that it's very businesslike ruff [x 3] &=laughs:S3 from the Records Office in October .
49,1998-07-07,adv700ju023,609.00,S1,60,like,co,v,6848,27, 'and if you really like math .
50,1998-07-07,adv700ju023,660.00,S1,60,like,co,v,6848,27, 'sounds to me like Math one eighty five either Great Books or Classical Civilization .
51,1998-07-07,adv700ju023,798.00,S1,60,like,co,v,6848,27, now sometimes students like to take one twenty five actually .
52,1998-07-07,adv700ju023,952.00,S1,60,like,v,v,6848,27, I mean if you really like French there's no reason to change but if you are thinking about you know if you really want to start another language .
53,1998-07-07,adv700ju023,996.00,S1,60,like,prep,v,6848,27, 'you know things like that but &th you know you're talking about themes and motives primarily and allusions and you're talking about it as a work of art as literature .
54,1998-07-07,adv700ju023,"1,014.00",S1,60,like,co,cm,6848,27, but for the people who really like literature or who &-um even not that they really love literature but that they don't have that other interest .
